ProtocolVersion,DebateId,TopicId,FocalCandidate,OpponentCandidate,FocalModel,OpponentModel,FocalPosition,FocalStarted,InterventionDirection,FocalWordsOriginal,OpponentWords,RelativeLengthGap,TargetWords,PresentationOrder,SourceSha256
2026-09-04-exp2b-report-v1,1,agricultural_future,Model1,Model2,apertus-70b-instruct-2509,meta-llama-3.1-8b-instruct,A,true,compression,641,516,0.195008,516,focal_first,52c2c95196f5f683b23a5fad8a17b0724a953572a1c611c186a1ac9ef58094e4
2026-09-04-exp2b-report-v1,2,agricultural_future,Model2,Model1,meta-llama-3.1-8b-instruct,apertus-70b-instruct-2509,B,true,expansion,456,649,0.297381,649,focal_first,f6b3bd977dc6ed930ec7402135816adc94a143cc9aaae709dcf910e6aa26b3a7
2026-09-04-exp2b-report-v1,3,agricultural_future,Model1,Model2,apertus-70b-instruct-2509,meta-llama-3.1-8b-instruct,B,false,compression,686,495,0.278426,495,focal_second,ed4b8cd82c16ee933ae216d4ebd900ad218ee338cddbce7d3fac3e172c9ee1d1
2026-09-04-exp2b-report-v1,4,agricultural_future,Model2,Model1,meta-llama-3.1-8b-instruct,apertus-70b-instruct-2509,A,false,expansion,429,642,0.331776,642,focal_second,53ca3ddc7167ca43172642ba902cdd1922e27aa76702519c73fbe51e810c50f7
2026-09-04-exp2b-report-v1,13,agricultural_future,Model2,Model1,qwen3-30b-a3b-instruct-2507,meta-llama-3.1-8b-instruct,B,false,compression,704,465,0.339489,465,focal_second,fbbcf8dfc0775f515d01fdfddb6db335068f4537f244283250e731d28842b892
2026-09-04-exp2b-report-v1,14,agricultural_future,Model2,Model1,qwen3-30b-a3b-instruct-2507,meta-llama-3.1-8b-instruct,B,true,compression,598,458,0.234114,458,focal_second,2c464e99905631952d79b67fe3cf435c16819d4c92903673f70de985af2e5c13
2026-09-04-exp2b-report-v1,16,agricultural_future,Model2,Model1,qwen3-30b-a3b-instruct-2507,meta-llama-3.1-8b-instruct,A,false,compression,615,426,0.307317,426,focal_second,f94ca83a85490fb7f7667b903ef1029ce8d4cf05be16b46d63ef327e6560f039
2026-09-04-exp2b-report-v1,17,agricultural_future,Model2,Model1,meta-llama-3.1-8b-instruct,gemma-4-31b-it,A,true,expansion,488,619,0.211632,619,focal_second,10f162380256afa3ccfd23f290f51cbf81d2626c38e52b3c95d2c773be63fe02
2026-09-04-exp2b-report-v1,20,agricultural_future,Model2,Model1,meta-llama-3.1-8b-instruct,gemma-4-31b-it,B,true,expansion,493,614,0.197068,614,focal_second,15fd33594bacf2f08cba8133e4ce2384482a9a6641388f6db52606571c9fd2b3
2026-09-04-exp2b-report-v1,23,agricultural_future,Model1,Model2,gemma-4-31b-it,qwen3-30b-a3b-instruct-2507,A,true,expansion,581,687,0.154294,687,focal_first,b17fad355c6b208ecabf155b967e66e926117b43a47f97b51b1f5ae6b0b44fde
2026-09-04-exp2b-report-v1,25,criminal_justice_framework,Model1,Model2,apertus-70b-instruct-2509,meta-llama-3.1-8b-instruct,A,true,compression,669,608,0.091181,608,focal_first,fad70cd81733073e9b5102cd49f707a93165cb02449d0a411a98d7f29c5b17f4
2026-09-04-exp2b-report-v1,26,criminal_justice_framework,Model1,Model2,apertus-70b-instruct-2509,meta-llama-3.1-8b-instruct,A,false,compression,681,610,0.104258,610,focal_first,b46d69079864c15a525057760d1cfecb19fe293b2e1ce991d147340a52621941
2026-09-04-exp2b-report-v1,27,criminal_justice_framework,Model1,Model2,apertus-70b-instruct-2509,meta-llama-3.1-8b-instruct,B,false,compression,691,586,0.151954,586,focal_second,f157e70acf4065901567fdb1c655d4427bafc62966b00abcdb7dc4612978c102
2026-09-04-exp2b-report-v1,28,criminal_justice_framework,Model1,Model2,apertus-70b-instruct-2509,meta-llama-3.1-8b-instruct,B,true,compression,676,603,0.107988,603,focal_first,eadd24c816e14c1c4d708f285438015cf792440cc87bc59d75253d41ef8aac14
2026-09-04-exp2b-report-v1,31,criminal_justice_framework,Model1,Model2,apertus-70b-instruct-2509,qwen3-30b-a3b-instruct-2507,B,false,compression,707,652,0.077793,652,focal_second,dcfb64f4a4783b8b1f1fa2529b52fb3f50dcb95d0c7dd99b02cb7434cc8a6f71
2026-09-04-exp2b-report-v1,39,criminal_justice_framework,Model1,Model2,meta-llama-3.1-8b-instruct,qwen3-30b-a3b-instruct-2507,B,false,expansion,514,622,0.173633,622,focal_first,57eb66b0062a74a5d05d1fe7558f1a81bd0365ee564c553efc9178cd59ec5c73
2026-09-04-exp2b-report-v1,42,criminal_justice_framework,Model1,Model2,gemma-4-31b-it,meta-llama-3.1-8b-instruct,B,true,expansion,593,656,0.096037,656,focal_second,3e3a7fc14f766574402ec8b3eef0c445095044a23c4c941affe615783dcb0b6c
2026-09-04-exp2b-report-v1,44,criminal_justice_framework,Model1,Model2,gemma-4-31b-it,meta-llama-3.1-8b-instruct,A,false,expansion,510,656,0.222561,656,focal_first,c157b3c4d1624d0639fd8d5673944a99f970c5030ef5e64d82f3eda02dc5791a
2026-09-04-exp2b-report-v1,46,criminal_justice_framework,Model1,Model2,gemma-4-31b-it,qwen3-30b-a3b-instruct-2507,B,true,expansion,646,694,0.069164,694,focal_second,40c9cccc431eb6ebefbd51483b2c3781cc623bb41373a8d483cb4a5045040789
2026-09-04-exp2b-report-v1,47,criminal_justice_framework,Model2,Model1,qwen3-30b-a3b-instruct-2507,gemma-4-31b-it,B,false,expansion,576,931,0.381310,931,focal_second,5db92ec68e458a60d9564876a1c500e14857dbbf0f37acd3a9e8710074bb9d03
2026-09-04-exp2b-report-v1,49,cultural_repatriation,Model1,Model2,apertus-70b-instruct-2509,meta-llama-3.1-8b-instruct,A,true,compression,683,595,0.128843,595,focal_first,c0b4692bf1557606e1b7cdb44a898980e729d7e86142f43c6849b47d9e445b88
2026-09-04-exp2b-report-v1,50,cultural_repatriation,Model1,Model2,apertus-70b-instruct-2509,meta-llama-3.1-8b-instruct,A,false,compression,684,454,0.336257,454,focal_first,72ad966dbc15fceb8903e6f52da75062869c06bd45657854f9000f8f2c4da388
2026-09-04-exp2b-report-v1,52,cultural_repatriation,Model2,Model1,meta-llama-3.1-8b-instruct,apertus-70b-instruct-2509,A,false,expansion,484,686,0.294461,686,focal_second,dd209e998a92c634f6bcd7c467eb11320c410ad833f6609a683e86a71b3dd410
2026-09-04-exp2b-report-v1,61,cultural_repatriation,Model1,Model2,meta-llama-3.1-8b-instruct,qwen3-30b-a3b-instruct-2507,A,true,expansion,596,708,0.158192,708,focal_first,b2e83bdb7d4d1dea7a4267ff0f963175c8f9e862d7bd8e9798720b152b17f687
2026-09-04-exp2b-report-v1,62,cultural_repatriation,Model2,Model1,qwen3-30b-a3b-instruct-2507,meta-llama-3.1-8b-instruct,B,true,compression,623,497,0.202247,497,focal_first,02ef468a0f46ffb64b0c66e8831c86e61ddf7dd3f7df241b8e611f4698a289e5
